matched_names,ingress_csplus_matched_to_name_1,ingress_csplus_matched_to_name_2,ingress_csplus_matched_to_name_3,ingress_csplus_matched_to_name_4,ingress_csplus_matched_to_name_5,ingress_csplus_matched_to_name_6,ingress_csplus_matched_to_name_7,ingress_csplus_matched_to_name_8,ingress_csplus_matched_to_name_9,ingress_csplus_matched_to_name_10,ingress_csminus_matched_to_name_1,ingress_csminus_matched_to_name_2,ingress_csminus_matched_to_name_3,ingress_csminus_matched_to_name_4,ingress_csminus_matched_to_name_5,ingress_csminus_matched_to_name_6,ingress_csminus_matched_to_name_7,ingress_csminus_matched_to_name_8,ingress_csminus_matched_to_name_9,ingress_csminus_matched_to_name_10,ingress_csplus2_matched_to_name_1,ingress_csplus2_matched_to_name_2,ingress_csplus2_matched_to_name_3,ingress_csplus2_matched_to_name_4,ingress_csplus2_matched_to_name_5,ingress_csplus2_matched_to_name_6,ingress_csplus2_matched_to_name_7,ingress_csplus2_matched_to_name_8,ingress_csplus2_matched_to_name_9,ingress_csplus2_matched_to_name_10,ingress_csminus2_matched_to_name_1,ingress_csminus2_matched_to_name_2,ingress_csminus2_matched_to_name_3,ingress_csminus2_matched_to_name_4,ingress_csminus2_matched_to_name_5,ingress_csminus2_matched_to_name_6,ingress_csminus2_matched_to_name_7,ingress_csminus2_matched_to_name_8,ingress_csminus2_matched_to_name_9,ingress_csminus2_matched_to_name_10
PO330,3371,4929,3793,7093,8622,3709,6226,7352,2547,7108,2379,6936,2509,9399,12176,10000,2425,4074,3592,3465,,,,,,,,,,,,,,,,,,,,
PO331,7756,3097,6413,2615,6367,7685,4345,7272,6030,2234,4155,4609,2998,3055,4235,7704,9421,2416,2832,2334,,,,,,,,,,,,,,,,,,,,
PO334,2702,9966,8803,8588,9373,10000,10000,11040,11673,10000,3399,10000,10000,10619,3148,10000,11838,11989,10850,10087,,,,,,,,,,,,,,,,,,,,
PO340,8200,5449,2592,2460,10804,10626,10000,10000,10000,6581,2353,11296,2588,2336,2182,10000,2470,10000,5003,10000,,,,,,,,,,,,,,,,,,,,
PO341,2618,8850,5456,10000,9391,10881,8799,6888,10000,10000,10000,10000,2607,11292,11429,10000,10946,11310,13078,10000,,,,,,,,,,,,,,,,,,,,
PO342,6390,6677,8068,10000,9434,10000,10000,10000,10000,10000,2620,2070,10000,11030,13197,10000,12077,10000,10000,8799,,,,,,,,,,,,,,,,,,,,
PO343,10000,10000,10000,8820,9294,8920,7112,10048,6894,8309,10000,11588,11544,10571,10397,10000,10000,11272,11031,10000,,,,,,,,,,,,,,,,,,,,
PO344,5903,10162,5128,5173,4953,7673,6794,2203,10147,7221,10000,10000,12362,12010,10000,10000,10000,10000,10000,2163,,,,,,,,,,,,,,,,,,,,
PO350,3370,5956,10000,3009,7245,4716,7760,10000,4539,5908,10000,3125,10000,4578,12797,7380,10000,7493,10000,8935,4664,5695,6126,4578,5072,2668,2673,4132,5461,4728,10000,10000,5688,10000,10000,10000,10000,5499,3810,4258
PO352,10429,4329,2759,3067,10000,10000,10385,3916,10569,10000,10000,10000,10000,10000,10000,10000,10000,4352,10000,10000,10154,3357,5191,10305,7054,10000,5105,6786,3541,11378,10000,10000,2480,10000,10000,10000,10000,10000,6210,10000
PO371,6804,10356,9090,6994,5238,6416,3458,4161,3169,7373,10000,7553,10883,2954,2783,10000,10000,10000,9321,10000,6744,2690,3357,6277,2479,5124,4021,4795,4477,4334,10519,10000,9801,10000,12079,10000,10000,10000,10000,11154
PO372,2800,5017,6727,5436,5600,7730,6470,7275,10000,10000,10000,10000,10000,8000,5000,10000,10000,10000,6700,10000,9824,3747,10755,3688,11649,7375,7072,6230,10000,7766,10000,9692,10000,4987,3645,10000,5903,4435,10000,2845
PO373,10000,7044,10000,10000,10000,10000,10000,10000,10000,10000,2091,10000,11082,8579,10000,10709,4583,10000,11738,10000,2585,10360,12905,7322,10000,10000,8484,10000,10000,2520,10000,10000,10000,10000,10000,10000,10000,10000,10000,8985
PO374,3650,7484,6034,3799,4399,5801,2274,7751,10174,6307,3613,3825,3572,10839,10000,6467,10000,11666,7089,10000,4037,7436,3782,4936,6449,10342,4173,6007,7225,6823,10000,3493,11468,10000,10761,6984,10000,10000,10000,10000
PW14,11553,4534,9392,10000,10000,10000,6639,10913,5547,10000,3899,10745,10000,10000,10919,10000,10000,10000,10000,8991,5282,6042,10000,10169,7152,9235,10000,10000,10000,10000,10000,8744,10000,10000,10000,10000,10000,10000,10000,10000
PW15,2475,3797,2872,3244,4646,6519,9497,7915,3761,4981,10000,13071,10925,10000,10000,10000,10000,10000,4914,10000,4245,6488,6993,10000,10610,7982,11030,6756,8227,7512,10000,10965,8041,10000,3563,10000,10000,6183,10000,10000
PW17,2486,10533,4431,8882,7429,10120,6397,10000,11196,10000,10000,10000,10000,10000,10000,10682,9776,10000,10000,10000,10615,9740,6594,10000,10312,5128,10336,8035,10101,9253,10000,10000,10000,10000,10000,2224,10000,10000,10000,10000
PW26,6368,9781,4520,4183,4092,4454,4796,4482,4944,5830,10000,6778,10000,10000,10000,10000,10000,10000,10000,10000,10000,11805,3648,4685,8451,3866,5269,4514,4662,3775,13177,10000,3187,10000,2349,10000,10000,10000,10000,10000
PW28,10000,13608,8923,8023,5965,10000,12159,5040,8075,7408,10000,10000,10000,10000,10000,2500,10000,4859,10436,10721,2102,10000,6898,4695,10000,4936,10000,10000,10092,5463,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
PW31,13393,10830,5039,6084,5011,10886,6069,6812,7971,5861,6658,10000,10000,10000,11204,13149,10000,13389,10000,8020,3266,6242,13757,10994,8526,9819,8222,8691,10000,9448,10000,5687,10000,6830,10842,10000,10000,10000,10000,3101
